total_spend,num_transactions,num_products,last_purchase_week,first_purchase_week
4330.16,86,677,102,8
1954.34,45,546,96,15
2653.21,47,516,101,17
1200.1100000000001,30,164,90,16
779.0600000000001,40,199,101,13
5996.16,250,811,102,18
3400.05,59,829,102,4
5534.97,113,1288,102,10
797.42,20,185,99,16
234.34,9,65,99,17
33.39,5,17,60,16
266.21,7,75,73,11
13190.92,275,1008,102,15
2761.19,140,574,101,1
972.53,55,235,101,4
1512.02,98,282,99,15
5139.63,124,444,99,4
7118.91,163,691,102,14
11299.61,421,1786,102,11
7486.11,387,477,102,12
870.11,27,228,98,11
6256.04,136,722,102,4
3158.58,110,450,102,16
1911.11,74,370,102,9
3149.65,94,452,101,2
1937.39,113,481,101,8
5736.24,405,546,102,6
2119.62,125,370,101,17
1343.03,69,341,102,6
622.8,28,133,102,12
4396.9,69,686,102,15
3381.82,116,714,102,8
1200.74,52,257,102,16
407.38,36,120,102,1
1119.51,60,240,102,4
4898.25,221,681,102,13
2976.66,63,206,102,13
706.13,27,133,79,15
5033.66,64,1244,99,4
12907.89,400,1525,102,11
3107.13,73,355,102,11
1985.8600000000001,89,305,102,15
884.84,106,245,102,17
877.76,32,278,90,12
807.09,57,158,85,15
8433.43,137,1308,102,3
2329.13,111,450,102,16
1172.83,50,253,102,17
6445.03,121,1044,101,9
351.39,15,116,97,17
3046.86,83,450,102,3
5487.28,139,1015,102,3
1962.26,56,332,102,11
103.09,11,33,71,6
1072.79,141,240,101,10
6691.53,201,1107,102,14
3105.87,194,514,102,8
10367.08,268,1386,102,12
1688.33,44,384,98,10
400.94,8,98,100,14
183.8,11,40,100,12
359.29,33,184,96,10
589.6,33,65,102,13
3917.81,264,760,102,2
2042.17,122,423,97,6
395.95,29,163,99,18
9618.9,227,1322,102,15
4960.77,553,962,102,1
5704.34,183,1190,102,13
76.4,32,21,101,2
3376.03,90,407,102,10
6473.43,107,1030,100,11
2864.18,164,515,95,9
2047.64,131,412,94,5
1167.09,64,148,102,13
315.94,16,103,102,7
6227.1,87,1313,102,1
2505.14,210,390,102,13
3950.12,154,761,102,15
3002.09,94,824,100,8
5553.7,152,1013,102,8
566.51,51,70,102,12
1183.74,110,290,102,6
1208.09,52,336,100,7
4696.49,282,963,102,3
4019.44,46,757,97,10
1202.3,45,197,102,13
11615.66,229,1994,102,13
177.56,11,46,92,16
490.41,10,109,97,13
2899.66,181,463,102,9
1587.38,57,553,101,15
3346.7200000000003,106,485,79,2
442.64,36,119,100,13
6500.18,308,1192,102,13
1182.43,59,254,102,4
5323.95,180,968,102,7
2547.3,205,683,102,1
6926.15,255,1327,102,13
2294.62,33,432,99,2
6651.58,242,574,102,17
304.84000000000003,8,92,26,8
541.99,51,208,102,14
6546.74,128,1065,102,17
4591.67,169,1253,102,2
2014.66,67,338,101,15
1222.83,41,197,98,10
2671.16,62,646,99,13
3501.07,104,774,102,17
3461.32,185,848,102,10
1515.65,51,480,99,3
1342.65,80,196,100,7
15324.95,223,2013,102,14
3315.63,88,684,102,2
13262.1,201,1261,102,6
647.72,83,169,102,7
2568.21,94,717,102,5
4526.21,90,583,102,15
2593.01,62,595,102,9
242.32,19,23,94,8
2225.58,112,625,96,17
2354.22,132,537,97,1
3222.65,174,583,99,12
683.41,61,162,102,10
10601.5,358,1397,101,2
853.45,31,264,101,13
4658.2300000000005,191,890,102,14
1381.08,41,252,102,3
475.73,40,169,99,17
511.62,20,121,49,4
6156.22,354,1317,102,4
2875.2400000000002,98,610,101,6
3823.89,75,741,102,15
5535.09,86,1102,102,6
717.5,74,179,102,11
2804.82,77,773,100,16
1062.17,38,298,90,15
3529.19,68,757,102,11
3073.33,83,594,102,11
1720.64,140,412,100,6
448.34,52,169,102,7
2324.19,176,258,102,3
6574.2300000000005,408,1244,102,15
2126.31,88,495,93,14
1470.49,59,400,101,10
843.02,41,282,101,5
1487.21,36,520,100,10
1231.76,55,307,101,14
11920.93,215,1229,94,7
230.35,6,70,88,13
1226.14,49,284,102,17
1454.28,37,329,100,6
1558.65,92,436,101,12
867.1800000000001,30,218,92,17
2101.05,52,399,101,16
5224.07,587,1160,102,17
2748.9500000000003,172,688,102,4
1869.79,180,247,101,17
2143.87,86,634,100,12
1536.09,57,375,101,11
6071.52,266,854,102,15
3037.54,71,430,102,4
272.52,17,104,94,10
4272.41,116,1127,102,17
2995.47,174,502,102,7
3059.69,122,410,102,9
1268.02,20,286,102,6
510.8,37,129,101,4
255.58,24,27,97,10
2024.51,45,578,100,6
740.46,25,310,101,13
1770.8700000000001,159,192,102,10
234.97,10,51,57,11
1208.39,27,321,96,9
1154.02,51,314,94,2
788.29,23,177,88,17
1130.58,50,310,100,8
2028.47,119,350,102,4
620.5600000000001,38,143,75,11
2103.4,68,479,100,15
1670.82,39,364,85,7
1162.34,36,283,94,5
1560.67,136,355,97,2
7090.07,257,827,102,15
2137.62,68,476,101,6
59.52,3,13,102,15
701.0,59,262,101,6
1847.6200000000001,43,478,100,9
801.99,38,149,100,12
696.28,23,206,96,15
552.85,34,182,102,4
3778.08,95,494,102,7
4814.66,136,501,100,5
1882.81,73,473,102,6
4166.72,91,715,102,7
5261.19,186,1096,102,10
1929.23,55,266,102,12
8659.17,461,1777,102,12
667.97,54,165,101,11
1166.63,80,332,102,4
1435.17,48,288,101,18
964.88,37,240,100,9
908.83,42,270,102,16
929.27,57,311,102,14
3749.64,106,633,102,10
386.6,15,124,94,9
995.72,21,311,94,10
4296.33,140,484,101,8
6876.56,196,921,102,14
3772.56,147,839,102,3
2244.06,112,334,102,14
3052.66,109,864,100,1
606.5,9,210,97,12
2657.91,86,464,101,17
1672.66,142,479,102,10
2624.5,120,369,102,1
2435.12,65,473,99,9
9211.72,164,1116,102,16
11884.79,228,1405,102,9
2525.2400000000002,91,491,98,6
2879.29,79,663,100,15
5897.9,130,902,102,7
2738.98,118,593,100,2
1600.8,56,429,102,8
729.82,44,207,97,8
1205.06,50,291,96,3
1390.25,135,288,101,9
2404.81,87,569,102,12
1004.89,40,226,100,6
4521.01,168,992,102,15
325.68,9,91,65,5
12695.57,631,1931,97,11
645.39,15,109,100,16
260.64,19,110,100,12
12156.64,200,1466,102,2
1591.78,47,428,102,8
549.59,6,148,94,17
693.4,28,169,94,5
4671.2,264,1226,102,5
365.61,31,96,101,1
199.73,16,56,97,16
5231.8,87,946,102,11
8074.12,250,1078,102,9
1698.95,41,422,97,8
1396.45,48,310,98,1
847.25,47,238,100,5
1243.06,59,321,101,11
6039.01,57,1514,101,5
2823.23,137,589,101,12
5991.84,121,521,102,16
2268.51,83,546,101,4
93.78,9,27,96,17
10993.710000000001,385,1746,102,3
442.14,43,146,102,3
672.09,18,141,100,1
9850.35,125,918,102,5
2689.9900000000002,122,574,100,9
2631.11,211,962,102,7
1158.33,54,193,100,2
425.04,30,156,101,17
1241.8700000000001,44,216,94,16
4802.27,218,931,100,15
5870.33,325,815,102,14
1783.07,61,439,98,9
1881.76,53,485,102,17
3130.2200000000003,59,505,100,12
385.56,26,37,97,7
809.21,30,289,97,16
1764.76,84,263,102,15
923.46,41,178,102,15
1375.52,98,224,101,1
401.62,7,123,66,12
2500.86,127,500,102,3
120.07000000000001,15,65,97,12
6284.99,321,708,102,15
5758.71,173,836,102,11
754.05,31,175,100,6
2053.56,84,450,102,7
1816.6200000000001,53,358,94,12
2375.86,105,399,102,2
1495.08,79,264,102,3
4162.56,110,722,102,9
6023.37,78,1089,101,6
534.98,21,144,101,14
4227.64,202,816,102,12
1245.24,41,194,102,10
3229.28,271,797,102,2
3114.77,92,623,102,16
5970.47,183,830,100,17
5524.34,290,907,102,12
2474.4900000000002,61,510,99,16
977.07,83,282,101,17
3957.66,108,775,100,1
5411.36,269,1025,102,2
149.31,5,40,102,12
149.25,12,35,100,16
3535.62,114,751,100,12
224.86,7,109,42,9
242.24,11,25,102,16
4974.31,107,990,99,11
7211.68,81,1273,102,4
1797.53,95,403,99,15
4879.67,199,956,102,17
8586.28,304,1711,102,1
3827.02,141,489,102,5
5716.7300000000005,185,1131,102,15
2582.03,415,336,102,6
2465.26,83,463,102,3
2325.59,22,292,90,5
184.02,9,48,102,12
1351.13,51,337,102,5
2578.05,40,555,100,13
92.54,4,37,13,8
3004.01,41,556,102,2
182.19,11,54,90,1
1037.78,53,330,102,11
6083.3,61,906,102,6
1242.25,92,244,102,10
3758.5,109,853,99,4
497.41,19,135,99,13
5935.66,106,816,99,9
2418.88,71,680,102,15
156.99,14,52,102,6
8554.87,150,1173,102,8
2850.58,75,757,100,11
739.72,26,123,102,16
226.71,27,99,97,10
17332.13,239,2054,102,10
3026.71,146,586,102,12
1679.38,189,335,99,13
1273.3,65,294,99,17
5519.02,118,1419,102,2
1248.81,39,303,98,8
4827.8,466,984,102,5
2822.18,147,475,102,5
3089.7400000000002,120,448,99,17
933.59,61,172,101,12
2690.97,154,563,102,23
1668.92,67,529,100,14
1057.56,29,273,90,2
393.5,30,140,92,16
2125.51,48,544,101,15
1650.64,67,347,101,1
2237.91,48,497,102,14
5741.08,182,1344,102,5
5351.41,124,541,102,13
540.76,15,106,96,1
2961.83,126,760,102,17
869.16,34,235,102,15
3083.25,103,473,102,4
7659.67,296,909,102,14
178.7,6,53,100,13
3799.2000000000003,125,863,101,18
8729.87,157,1601,102,13
340.34,7,66,54,12
2837.33,234,393,102,13
1704.27,22,537,100,15
12729.34,371,1749,102,13
172.85,2,70,8,6
447.6,37,163,102,16
8747.1,217,1613,102,1
2987.4900000000002,91,543,102,3
52.4,4,22,84,14
2566.92,86,592,101,1
7048.43,170,714,100,2
615.78,48,261,97,12
7186.37,114,1102,102,5
1346.46,53,232,100,4
1034.95,35,298,102,12
3386.78,133,646,80,12
15716.54,161,2079,102,10
440.42,10,147,72,2
96.91,13,42,102,16
7099.56,163,869,101,5
203.94,24,58,100,14
4714.62,493,746,102,10
3166.45,133,628,102,15
4715.42,325,704,102,9
55.64,2,24,102,18
7726.4400000000005,129,999,102,14
3120.79,93,782,101,1
694.7,34,145,97,9
5763.4400000000005,150,629,100,11
3914.84,80,777,102,16
2929.72,41,562,101,6
4676.43,281,1174,102,6
5697.25,131,928,101,15
1286.54,58,389,102,15
14880.92,271,1698,102,16
1806.02,108,370,102,12
1412.64,49,334,88,13
11443.97,104,1236,102,11
3895.2400000000002,180,1092,102,9
1565.89,65,393,102,6
872.91,68,216,102,7
1790.73,107,351,101,16
6161.99,248,909,102,16
2092.6,125,568,101,16
978.48,17,221,95,17
